isbn,ncid,title,creators
310496,"http://ci.nii.ac.jp/ncid/BB08095828","眞知子","野上彌生子作"
310496,"http://ci.nii.ac.jp/ncid/BB08095883","眞知子","野上彌生子作"
310496,"http://ci.nii.ac.jp/ncid/BN00955880","眞知子","野上彌生子作"
310498,"http://ci.nii.ac.jp/ncid/BA36284763","大石良雄 ; 笛","野上弥生子作"
310498,"http://ci.nii.ac.jp/ncid/BN06879082","大石良雄","野上弥生子作"
310504,"http://ci.nii.ac.jp/ncid/BA61365914","友情","武者小路実篤作"
310504,"http://ci.nii.ac.jp/ncid/BN01979002","友情","武者小路実篤作"
310511,"http://ci.nii.ac.jp/ncid/BA41248077","銀の匙","中勘助作"
310511,"http://ci.nii.ac.jp/ncid/BN03593695","銀の匙","中勘助作"
310521,"http://ci.nii.ac.jp/ncid/BA69962553","若山牧水歌集","[若山牧水著] ; 伊藤一彦編"
310521,"http://ci.nii.ac.jp/ncid/BN09823040","若山牧水歌集","若山喜志子選"
310541,"http://ci.nii.ac.jp/ncid/BN01528739","啄木歌集","石川啄木作"
310541,"http://ci.nii.ac.jp/ncid/BN09122487","新編啄木歌集","石川啄木 [著] ; 久保田正文編"
310552,"http://ci.nii.ac.jp/ncid/BA44069813","春琴抄 ; 盲目物語","谷崎潤一郎作"
310552,"http://ci.nii.ac.jp/ncid/BN05309067","盲目物語 ; 春琴抄","谷崎潤一郎作"
310661,"http://ci.nii.ac.jp/ncid/BA64409798","或る少女の死まで : 他二篇","室生犀星作"
310661,"http://ci.nii.ac.jp/ncid/BN01527022","或る少女の死まで : 他二篇","室生犀星作"
310671,"http://ci.nii.ac.jp/ncid/BA62853764","出家とその弟子","倉田百三作"
310671,"http://ci.nii.ac.jp/ncid/BN07687677","出家とその弟子","倉田百三著"
310701,"http://ci.nii.ac.jp/ncid/BA59063592","羅生門 ; 鼻 ; 芋粥 ; 偸盗","芥川竜之介作"
310701,"http://ci.nii.ac.jp/ncid/BN00969568","羅生門 ; 鼻 ; 芋粥 ; 偸盗","芥川龍之介作"
310703,"http://ci.nii.ac.jp/ncid/BA63935525","河童 : 他二篇","芥川竜之介作"
310703,"http://ci.nii.ac.jp/ncid/BN01035039","河童 : 他二編","芥川竜之介作"
310706,"http://ci.nii.ac.jp/ncid/BB02984637","歯車 : 他二篇","芥川竜之介作"
310706,"http://ci.nii.ac.jp/ncid/BN00235429","歯車 : 他二篇","芥川竜之介作"
310752,"http://ci.nii.ac.jp/ncid/BA84901634","上海","横光利一作"
310752,"http://ci.nii.ac.jp/ncid/BN00965319","上海","横光利一作"
310761,"http://ci.nii.ac.jp/ncid/BA81513435","宮澤賢治詩集","[宮澤賢治著] ; 谷川徹三編"
310761,"http://ci.nii.ac.jp/ncid/BN01047184","宮澤賢治詩集","[宮澤賢治著] ; 谷川徹三編"
310763,"http://ci.nii.ac.jp/ncid/BA81514416","銀河鉄道の夜 : 童話集 : 他十四篇","宮澤賢治作 ; 谷川徹三編"
310763,"http://ci.nii.ac.jp/ncid/BN03593640","銀河鉄道の夜 : 童話集 : 他十四篇","宮澤賢治作 ; 谷川徹三編"
310811,"http://ci.nii.ac.jp/ncid/BA63520020","伊豆の踊子 ; 温泉宿 : 他四篇","川端康成作"
310811,"http://ci.nii.ac.jp/ncid/BN05060719","伊豆の踊り子 ; 温泉宿 : 他四篇","川端康成作"
310813,"http://ci.nii.ac.jp/ncid/BA6136570X","雪国","川端康成作"
310813,"http://ci.nii.ac.jp/ncid/BN01526799","雪国","川端康成作"
310871,"http://ci.nii.ac.jp/ncid/BA86067188","檸檬 (レモン) ; 冬の日 : 他九篇","梶井基次郎作"
310871,"http://ci.nii.ac.jp/ncid/BN01009866","檸檬 (レモン) ・冬の日 : 他九篇","梶井基次郎作"
310881,"http://ci.nii.ac.jp/ncid/BA6243253X","蟹工船 ; 一九二八・三・一五","小林多喜二作"
310881,"http://ci.nii.ac.jp/ncid/BN01526631","蟹工船 ; 一九二八・三・一五","小林多喜二作"
310901,"http://ci.nii.ac.jp/ncid/BA44072589","富嶽百景・走れメロス : 他八篇","太宰治作"
310901,"http://ci.nii.ac.jp/ncid/BN01976252","富嶽百景・走れメロス : 他8篇","太宰治作"
311002,"http://ci.nii.ac.jp/ncid/BA36518070","夕鶴・彦市ばなし : 他二篇","木下順二作"
311002,"http://ci.nii.ac.jp/ncid/BN00238788","彦市ばなし ; 夕鶴 ; 山脈(やまなみ) ; 暗い火花","木下順二作"
311003,"http://ci.nii.ac.jp/ncid/BA62044304","オットーと呼ばれる日本人 ; 神と人とのあいだ","木下順二作"
311003,"http://ci.nii.ac.jp/ncid/BN03098062","オットーと呼ばれる日本人 ; 神と人とのあいだ","木下順二作"
311004,"http://ci.nii.ac.jp/ncid/BA39481782","子午線の祀り ; 沖縄 : 他一篇","木下順二作"
311004,"http://ci.nii.ac.jp/ncid/BA62044326","子午線の祀り ; 沖縄 : 他一篇","木下順二作"
311061,"http://ci.nii.ac.jp/ncid/BB00928715","古句を観る","柴田宵曲著"
311061,"http://ci.nii.ac.jp/ncid/BN0024191X","古句を観る","柴田宵曲著"
311371,"http://ci.nii.ac.jp/ncid/BN00951540","雪中梅","末廣鐵膓著 ; 小林智賀平校訂"
311371,"http://ci.nii.ac.jp/ncid/BN08414818","雪中梅","末廣鐵膓著 ; 小林智賀平校訂"
320091,"http://ci.nii.ac.jp/ncid/BA48687494","唐詩選","[李攀竜編] ; 前野直彬注解"
320091,"http://ci.nii.ac.jp/ncid/BN00971741","唐詩選","前野直彬注解"
320161,"http://ci.nii.ac.jp/ncid/BA37967648","水滸伝 : 完訳","吉川幸次郎, 清水茂訳"
320161,"http://ci.nii.ac.jp/ncid/BN00976053","水滸傳","吉川幸次郎譯"
320201,"http://ci.nii.ac.jp/ncid/BA70282953","西遊記","[呉承恩作] ; 中野美代子訳"
320201,"http://ci.nii.ac.jp/ncid/BN00200490","西遊記","呉承恩作 ; 小野忍訳"
320252,"http://ci.nii.ac.jp/ncid/BA77516495","阿Q正伝 ; 狂人日記 : 他十二篇(吶喊)","魯迅作 ; 竹内好訳"
320252,"http://ci.nii.ac.jp/ncid/BN00267968","阿Q正伝 ; 狂人日記 : 他十二篇","魯迅作 ; 竹内好訳"
321021,"http://ci.nii.ac.jp/ncid/BN00935908","イーリアス","ホメーロス [著] ; 呉茂一訳"
321021,"http://ci.nii.ac.jp/ncid/BN08089761","イリアス","ホメロス [著] ; [T・W・アレン校訂] ; 松平千秋訳"
321024,"http://ci.nii.ac.jp/ncid/BN01994527","オデュッセイアー","ホメーロス [著] ; 呉茂一訳"
321024,"http://ci.nii.ac.jp/ncid/BN11307667","オデュッセイア","ホメロス [著] ; 松平千秋訳"
321031,"http://ci.nii.ac.jp/ncid/BA40608428","イソップ寓話集","[イソップ著] ; 中務哲郎訳"
321031,"http://ci.nii.ac.jp/ncid/BN01999881","イソップ寓話集","[イソップ著] ; 山本光雄訳"
321052,"http://ci.nii.ac.jp/ncid/BA45280300","オイディプス王","ソポクレス [著] ; 藤沢令夫訳"
321052,"http://ci.nii.ac.jp/ncid/BN01994174","オイディプス王","ソポクレス [著] ; 藤沢令夫訳"
322021,"http://ci.nii.ac.jp/ncid/BB07974222","ユートピア","トマス・モア著 ; 平井正穂訳"
322021,"http://ci.nii.ac.jp/ncid/BN00914216","ユートピア","トマス・モア著 ; 平井正穂訳"
322046,"http://ci.nii.ac.jp/ncid/BA32382206","ジュリアス・シーザー","シェイクスピア作 ; 中野好夫訳"
322046,"http://ci.nii.ac.jp/ncid/BN00275751","ジュリアス・シーザー","シェイクスピア作 ; 中野好夫改訳"
322047,"http://ci.nii.ac.jp/ncid/BN03140136","お気に召すまま","シェイクスピア作 ; 阿部知二訳"
322047,"http://ci.nii.ac.jp/ncid/BN05040857","お気に召すまま","シェイクスピア作 ; 阿部知二訳"
322049,"http://ci.nii.ac.jp/ncid/BA55150571","ハムレット","シェイクスピア作 ; 野島秀勝訳"
322049,"http://ci.nii.ac.jp/ncid/BN01521434","ハムレット","シェイクスピア作 ; 市河三喜, 松浦嘉一訳"
322051,"http://ci.nii.ac.jp/ncid/BA46530356","リア王","シェイクスピア作 ; 野島秀勝訳"
322051,"http://ci.nii.ac.jp/ncid/BN05041598","リア王","シェイクスピア作 ; 斎藤勇訳"
322052,"http://ci.nii.ac.jp/ncid/BA32118343","マクベス","シェイクスピア作 ; 木下順二訳"
322052,"http://ci.nii.ac.jp/ncid/BN03135103","マクベス","シェイクスピア作 ; 野上豊一郎訳"
322071,"http://ci.nii.ac.jp/ncid/BB05477646","天路歴程","ジョン・バニヤン作 ; 竹友藻風譯"
322071,"http://ci.nii.ac.jp/ncid/BN00925085","天路歴程","ジョン・バニヤン作 ; 竹友藻風譯"
322081,"http://ci.nii.ac.jp/ncid/BB11264504","ロビンソン・クルーソー","デフォー作 ; 平井正穂訳"
322081,"http://ci.nii.ac.jp/ncid/BN00954800","ロビンソン・クルーソー","デフォー作 ; 平井正穂訳"
322121,"http://ci.nii.ac.jp/ncid/BB00648468","トリストラム・シャンディ","ロレンス・スターン作 ; 朱牟田夏雄訳"
322121,"http://ci.nii.ac.jp/ncid/BN01981525","トリストラム・シャンディ","ロレンス・スターン作 ; 朱牟田夏雄訳"
322131,"http://ci.nii.ac.jp/ncid/BB07946566","ウェイクフィールドの牧師 : むだばなし","ゴールドスミス作 ; 小野寺健訳"
322131,"http://ci.nii.ac.jp/ncid/BN01015676","ウェークフィールドの牧師","ゴールドスミス作 ; 神吉三郎譯"
322181,"http://ci.nii.ac.jp/ncid/BN00921958","ワーヅワース詩集","田部重治選譯"
322181,"http://ci.nii.ac.jp/ncid/BN04775337","ワーズワース詩集","田部重治選訳"
322221,"http://ci.nii.ac.jp/ncid/BN00923625","高慢と偏見","ジェーン・オースティン作 ; 富田彬譯"
322221,"http://ci.nii.ac.jp/ncid/BN11031001","高慢と偏見","ジェーン・オースティン作 ; 富田彬訳"
322223,"http://ci.nii.ac.jp/ncid/BA37934547","説きふせられて","ジェーン・オースティン作 ; 富田彬訳"
322223,"http://ci.nii.ac.jp/ncid/BN00915434","説きふせられて","ヂェイン・オーステン作 ; 富田彬譯"
322271,"http://ci.nii.ac.jp/ncid/BA63590398","虚栄の市","サッカリー作 ; 中島賢二訳"
322271,"http://ci.nii.ac.jp/ncid/BN00924424","虚榮の市","サッカレ作 ; 三宅幾三郎譯"
322281,"http://ci.nii.ac.jp/ncid/BA57705203","デイヴィッド・コパフィールド","ディケンズ作 ; 石塚裕子訳"
322281,"http://ci.nii.ac.jp/ncid/BN00921878","デイヴィド・コパフィールド","チャールズ・ディケンズ作 ; 市川又彦譯"
322301,"http://ci.nii.ac.jp/ncid/BA63938771","鎖を解かれたプロメテウス","シェリー作 ; 石川重俊訳"
322301,"http://ci.nii.ac.jp/ncid/BN04804377","縛を解かれたプロミーシュース","シェリー作 ; 石川重俊訳"
322331,"http://ci.nii.ac.jp/ncid/BA65818136","嵐が丘","エミリー・ブロンテ作 ; 河島弘美訳"
322331,"http://ci.nii.ac.jp/ncid/BN00941230","嵐が丘","エミリ・ブロンテ作 ; 阿部知二訳"
322391,"http://ci.nii.ac.jp/ncid/BA85896992","アルプス登攀記","ウィンパー著 ; 浦松佐美太郎訳"
322391,"http://ci.nii.ac.jp/ncid/BN03694626","アルプス登攀記","ウィンパー著 ; 浦松佐美太郎訳"
322406,"http://ci.nii.ac.jp/ncid/BN09823594","幻想を追う女 : ハーディ短篇集 : 他5編","森村豊譯"
322406,"http://ci.nii.ac.jp/ncid/BN10452219","幻想を追ふ女 : ハーディ短篇集 : 他5篇","森村豊訳"
322421,"http://ci.nii.ac.jp/ncid/BB07976443","宝島","スティーヴンスン作 ; 阿部知二訳"
322421,"http://ci.nii.ac.jp/ncid/BN03242125","宝島","スティーヴンスン作 ; 阿部知二訳"
322422,"http://ci.nii.ac.jp/ncid/BN03241450","ジーキル博士とハイド氏","スティーヴンスン作 ; 岩田良吉訳"
322422,"http://ci.nii.ac.jp/ncid/BN11639022","ジーキル博士とハイド氏","スティーヴンスン作 ; 海保眞夫訳"
322441,"http://ci.nii.ac.jp/ncid/BB04552349","怪談 : 不思議なことの物語と研究","ラフカディオ・ハーン作 ; 平井呈一訳"
